fips_code,county,total_2008,dem_2008,gop_2008,oth_2008,total_2012,dem_2012,gop_2012,oth_2012,total_2016,dem_2016,gop_2016,oth_2016
20045,Douglas County,53398,34398,17929,1071,46283,28012,17028,1243,48231,30089,14308,3834
40097,Mayes County,15983,5749,10234,0,14456,4822,9634,0,15712,3423,11550,739
22105,Tangipahoa Parish,48602,16438,31434,730,50090,17720,31583,787,52381,16869,33933,1579
36013,Chautauqua County,58802,29129,28579,1094,48434,21815,25795,824,49381,17281,29418,2682
25007,Dukes County,10553,7913,2442,198,10914,7955,2789,170,11434,8338,2474,622
20127,Morris County,2841,907,1875,59,2526,705,1750,71,2568,586,1790,192
48141,El Paso County,185233,122021,61783,1429,171053,112273,56517,2263,210458,145509,54567,10382
30025,Fallon County,1432,318,1064,50,1399,236,1123,40,1474,154,1276,44
55019,Clark County,14187,7454,6383,350,13740,6173,7394,173,13548,4225,8645,678
19165,Shelby County,6453,2863,3488,102,6456,2468,3903,85,6270,1649,4340,281
13103,Effingham County,20316,4936,15230,150,20779,4941,15591,247,23395,4851,17865,679
55011,Buffalo County,7000,3949,2923,128,7008,3569,3352,87,6921,2531,4049,341
31051,Dixon County,2794,946,1785,63,2666,870,1745,51,2744,556,2041,147
41023,Grant County,3909,1006,2785,118,3778,834,2848,96,4171,732,3187,252
24033,Prince George's County,374026,332396,38833,2797,352292,317342,32236,2714,351091,313627,29290,8174
29219,Warren County,15576,6705,8675,196,14676,5219,9150,307,15766,3915,11109,742
36051,Livingston County,30149,13655,16030,464,24606,10889,13210,507,31363,10478,19211,1674
48391,Refugio County,3261,1382,1855,24,2673,998,1659,16,2945,1034,1830,81
22013,Bienville Parish,7430,3589,3776,65,7203,3490,3641,72,7005,3129,3756,120
22023,Cameron Parish,3793,613,3089,91,3744,408,3260,76,3692,323,3256,113
17045,Edgar County,8255,3743,4398,114,7810,2563,5125,122,7783,1778,5634,371
21047,Christian County,22778,8880,13699,199,21953,8252,13475,226,22069,7188,14108,773
13193,Macon County,4981,3251,1712,18,4781,3211,1545,25,4287,2705,1540,42
01003,Baldwin County,81413,19386,61271,756,84988,18329,65772,887,94090,18409,72780,2901
38105,Williams County,9373,2921,6291,161,9600,2288,7087,225,12529,1722,10033,774
19105,Jones County,10004,5446,4405,153,10371,5514,4712,145,10011,3779,5718,514
22095,Saint John the Baptist Parish,21656,12424,8912,320,21122,13178,7620,324,20740,12658,7569,513
32031,Washoe County,179175,99671,76880,2624,186917,94806,88151,3960,209282,97032,94529,17721
20187,Stanton County,827,188,628,11,713,135,571,7,742,132,580,30
18139,Rush County,7629,3229,4271,129,7026,2221,4633,172,7214,1525,5292,397
29037,Cass County,50179,19844,29695,640,48913,17044,30912,957,50715,14816,33006,2893
38057,Mercer County,4397,1476,2789,132,4394,1161,3132,101,4564,616,3715,233
55035,Eau Claire County,55010,33146,20959,905,54595,30618,23218,759,54080,27271,23301,3508
29079,Grundy County,4740,1580,3006,154,4374,1212,3030,132,4413,780,3462,171
47077,Henderson County,10834,3021,7669,144,10051,2516,7418,117,10172,1796,8118,258
35029,Luna County,8340,4311,3870,159,7472,3573,3654,245,7245,3195,3478,572
47173,Union County,6399,1829,4467,103,5820,1474,4278,68,6204,1010,5024,170
48005,Angelina County,29153,9379,19569,205,28403,7833,20301,269,29870,7538,21666,666
46061,Hanson County,2431,961,1426,44,2416,760,1627,29,2006,424,1497,85
48271,Kinney County,1551,633,907,11,1425,522,880,23,1424,457,936,31
39031,Coshocton County,16863,7689,8675,499,15555,6841,8312,402,14961,3908,10381,672
40043,Dewey County,2203,346,1857,0,2070,301,1769,0,2246,222,1964,60
06065,Riverside County,647299,325017,310041,12241,589721,287754,290227,11740,517200,253215,240013,23972
30109,Wibaux County,561,146,379,36,544,25,421,98,533,55,460,18
48325,Medina County,15737,5147,10480,110,15948,4760,11016,172,17187,4624,12054,509
09005,Litchfield County,98966,51041,46173,1752,92404,43823,47207,1374,97434,39836,53376,4222
20039,Decatur County,1548,343,1189,16,1533,266,1219,48,1460,178,1220,62
13015,Bartow County,36093,9662,25976,455,35738,8383,26847,508,39263,8204,29879,1180
08051,Gunnison County,8870,5556,3131,183,7912,4563,3106,243,9299,5068,3250,981
30045,Judith Basin County,1236,397,801,38,1212,336,852,24,1189,232,867,90
17099,La Salle County,50185,27443,21872,870,47146,23023,23207,916,48447,19277,26269,2901
40103,Noble County,5055,1174,3881,0,4626,1142,3484,0,4870,901,3707,262
53001,Adams County,4858,1552,3222,84,4707,1516,3111,80,4081,1118,2740,223
19109,Kossuth County,9097,4625,4329,143,8833,3824,4914,95,8505,2529,5637,339
51001,Accomack County,15623,7607,7833,183,16020,7653,8212,155,15755,6737,8582,436
19075,Grundy County,6828,2790,3945,93,6890,2615,4205,70,6766,1847,4516,403
23005,Cumberland County,164151,105218,56186,2747,166895,100977,57008,8910,171249,102935,57697,10617
37099,Jackson County,16866,8766,7854,246,16556,8052,8224,280,18004,7564,9706,734
39119,Muskingum County,39071,17730,20549,792,35954,16327,18826,801,36217,10926,23588,1703
17177,Stephenson County,21605,11349,9909,347,17029,7954,8742,333,19525,7531,10845,1149
08053,Hinsdale County,599,240,344,15,598,228,352,18,589,197,339,53
40093,Major County,3471,515,2956,0,3146,446,2700,0,3399,310,2940,149
48171,Gillespie County,12338,2576,9563,199,12535,2055,10305,175,13123,2286,10445,392
06061,Placer County,173107,75112,94647,3348,126325,49126,74460,2739,105157,43915,55212,6030
27153,Todd County,12257,5277,6637,343,11762,4819,6719,224,11944,2783,8485,676
39041,Delaware County,92416,36653,54778,985,96330,36131,58980,1219,100101,39584,55660,4857
16071,Oneida County,2162,381,1724,57,2089,217,1838,34,2068,184,1531,353
21035,Calloway County,15404,6165,8991,248,15064,5314,9438,312,16039,4749,10367,923
12013,Calhoun County,6244,1821,4345,78,6152,1664,4366,122,6067,1236,4647,184
36009,Cattaraugus County,32617,14307,17770,540,27608,11695,15406,507,28961,8717,18668,1576
18069,Huntington County,16328,5843,10291,194,15753,4596,10862,295,15974,3506,11649,819
39099,Mahoning County,127032,79173,45319,2540,117571,74298,41702,1571,112827,56188,52808,3831
48059,Callahan County,5716,1063,4589,64,5195,751,4376,68,5556,568,4858,130
47165,Sumner County,67228,21487,44949,792,65334,18571,45979,784,71080,18153,50105,2822
46109,Roberts County,4536,2672,1781,83,4256,2302,1883,71,3886,1539,2142,205
17185,Wabash County,5782,2462,3254,66,5127,1588,3473,66,5402,1146,4039,217
20121,Miami County,15377,5742,9382,253,14642,4635,9726,281,14712,3949,9839,924
27147,Steele County,19656,9016,10068,572,19034,8706,9903,425,19040,6239,11198,1603
51063,Floyd County,7516,2937,4441,138,7626,2732,4671,223,7972,2300,5289,383
16027,Canyon County,64246,20147,42752,1347,66090,19866,44369,1855,72007,16683,46755,8569
45041,Florence County,58373,28012,29861,500,57877,28508,28825,544,57770,26630,29498,1642
29073,Gasconade County,7771,2899,4763,109,7134,2099,4895,140,7444,1519,5670,255
16013,Blaine County,10571,6947,3439,185,10194,5992,3939,263,10723,6416,3340,967
31141,Platte County,13420,3796,9373,251,13249,3095,9963,191,14047,2612,10864,571
42027,Centre County,75763,41950,32992,821,68801,33677,33697,1427,75394,36555,35099,3740
13123,Gilmer County,11149,2614,8408,127,11008,1955,8920,133,12713,1955,10465,293
12039,Gadsden County,22510,15582,6811,117,22495,15768,6628,99,22079,14994,6721,364
48175,Goliad County,3655,1329,2298,28,3452,1127,2294,31,3713,973,2618,122
05143,Washington County,68380,29021,37963,1396,70231,28136,39570,2525,78153,32296,40418,5439
41019,Douglas County,52937,20298,30919,1720,49062,17032,30588,1442,51350,13891,34112,3347
19179,Wapello County,15931,8820,6663,448,15630,8616,6777,237,14996,5591,8710,695
29151,Osage County,7079,1907,5062,110,6918,1472,5330,116,7078,998,5845,235
28009,Benton County,4638,2227,2329,82,4080,2026,2030,24,3996,1713,2240,43
48179,Gray County,8133,1153,6924,56,7373,885,6428,60,7360,699,6495,166
13009,Baldwin County,16537,8587,7823,127,16214,8469,7585,160,16075,7965,7691,419
13023,Bleckley County,5071,1380,3657,34,4903,1266,3586,51,4934,1094,3717,123
47071,Hardin County,10035,2794,7077,164,10495,2467,7886,142,9949,1622,8012,315
32023,Nye County,17268,7226,9537,505,17522,6320,10566,636,19592,5095,13320,1177
39057,Greene County,83589,33540,48936,1113,81075,31028,48683,1364,79633,28023,47506,4104
47081,Hickman County,8498,3563,4784,151,7595,2693,4756,146,7762,1823,5685,254
48473,Waller County,15508,7153,8265,90,15699,6401,9158,140,16715,5744,10525,446
55117,Sheboygan County,62107,30395,30801,911,63272,28356,34282,634,58290,22636,32368,3286
08015,Chaffee County,9920,4861,4873,186,10217,4967,4949,301,10999,4773,5283,943
21161,Mason County,7121,2891,4102,128,6879,2592,4197,90,7212,1970,4944,298
41039,Lane County,182910,114037,63835,5038,166176,99891,60979,5306,181072,100497,66218,14357
13003,Atkinson County,2904,938,1941,25,2902,930,1938,34,2604,696,1873,35
09013,Tolland County,75501,45053,29266,1182,70780,39283,30391,1106,77069,38450,33989,4630
40045,Ellis County,1909,282,1627,0,1801,226,1575,0,1826,155,1610,61
13053,Chattahoochee County,1642,830,811,1,1483,726,732,25,1384,593,746,45
22085,Sabine Parish,9652,2245,7226,181,10050,2194,7735,121,9785,1703,7877,205
55099,Price County,8194,4559,3461,174,7870,3882,3879,109,7560,2671,4562,327
20175,Seward County,5336,1493,3791,52,4955,1393,3495,67,4743,1491,3025,227
28141,Tishomingo County,8419,1962,6249,208,7850,1623,6070,157,8310,990,7117,203
18083,Knox County,16424,7569,8639,216,15145,5228,9612,305,15483,3772,11077,634
37011,Avery County,7943,2178,5681,84,7657,1861,5708,88,8060,1670,6226,164
22015,Bossier Parish,45835,12703,32713,419,48559,12955,34986,618,49818,12638,35451,1729
39085,Lake County,121335,60155,59142,2038,114264,55219,57150,1895,112790,45056,62627,5107
05069,Jefferson County,29689,18465,10655,569,27364,17456,9515,393,25683,15721,9231,731
30035,Glacier County,4970,3423,1451,96,4287,2784,1391,112,4969,3076,1598,295
31143,Polk County,2543,668,1822,53,2446,527,1886,33,2538,411,2019,108
55093,Pierce County,22107,11803,9812,492,20920,10213,10383,324,21089,8380,11260,1449
51057,Essex County,5364,2934,2379,51,5666,3009,2602,55,5354,2541,2657,156
48051,Burleson County,6665,2053,4547,65,6455,1705,4671,79,6945,1491,5316,138
13221,Oglethorpe County,6447,2232,4144,71,6258,1913,4250,95,6650,1829,4622,199
05031,Craighead County,30968,11294,18881,793,31207,10351,20044,812,34968,10474,22798,1696
21041,Carroll County,3835,1716,2032,87,3680,1629,1999,52,3851,1106,2588,157
13273,Terrell County,4416,2501,1890,25,4398,2544,1834,20,4179,2267,1872,40
42011,Berks County,180000,97047,80513,2440,163253,79895,80857,2501,175934,75169,93094,7671
18013,Brown County,8055,3854,4060,141,7590,3056,4330,204,7908,2518,5015,375
38077,Richland County,7563,3513,3900,150,7549,3190,4213,146,7460,2064,4759,637
42017,Bucks County,332924,179031,150248,3645,319407,159598,155876,3933,342572,165861,163873,12838
16015,Boise County,3773,1240,2433,100,3345,953,2284,108,3812,777,2673,362
36111,Ulster County,89149,54320,33300,1529,72193,43164,27340,1689,77134,40010,32962,4162
29095,Jackson County,339266,210824,124687,3755,306854,180100,121891,4863,294063,163723,114777,15563
49055,Wayne County,1314,335,940,39,1323,213,1087,23,1410,271,959,180
20165,Rush County,1781,504,1225,52,1549,361,1151,37,1474,227,1177,70
41061,Union County,12594,4613,7581,400,11905,3943,7608,354,12465,3221,8378,866
29186,Sainte Genevieve County,8825,4979,3732,114,8070,3813,4055,202,8459,2540,5495,424
30101,Toole County,2121,737,1317,67,2102,582,1440,80,2018,399,1495,124
37157,Rockingham County,41612,17255,23899,458,41549,16170,25037,342,41374,14057,26463,854
05137,Stone County,5324,1598,3534,192,5351,1356,3773,222,5527,1189,4081,257
39123,Ottawa County,23069,12064,10618,402,21936,11214,10323,399,21742,8136,12389,1217
29081,Harrison County,3915,1287,2512,116,3695,984,2624,87,3682,574,2965,143
27173,Yellow Medicine County,5569,2816,2579,174,5397,2465,2806,126,5253,1524,3382,347
05041,Desha County,4678,2569,1999,110,4240,2353,1807,80,4226,2227,1915,84
27023,Chippewa County,6356,3280,2907,169,6176,3083,2967,126,6182,1978,3764,440
47095,Lake County,2238,1024,1175,39,2087,884,1163,40,1970,577,1357,36
22025,Catahoula Parish,5225,1659,3486,80,4193,1408,2744,41,4856,1322,3479,55
48021,Bastrop County,25918,11687,13817,414,24457,9860,14019,578,28250,10555,16314,1381
39161,Van Wert County,14652,5178,9168,306,13586,3923,9433,230,13584,2667,10328,589
12123,Taylor County,9366,2803,6457,106,9117,2761,6249,107,9279,2149,6923,207
13133,Greene County,7919,3339,4532,48,8313,3195,5067,51,8831,3194,5488,149
56013,Fremont County,17592,6016,11083,493,16817,5333,11072,412,16543,4200,11167,1176
36113,Warren County,32245,16281,15429,535,26220,13112,12571,537,27568,11366,14284,1918
19049,Dallas County,32640,15149,16954,537,37799,16466,20921,412,37617,15662,19288,2667
08111,San Juan County,496,264,218,14,506,266,212,28,506,265,215,26
53007,Chelan County,31958,13781,17605,572,30952,12519,17741,692,21038,8402,11556,1080
51093,Isle of Wight County,19997,8573,11258,166,20772,8754,11797,221,20481,7673,11971,837
18105,Monroe County,63215,41450,21118,647,40200,22885,16254,1061,57623,34183,20527,2913
51077,Grayson County,7220,2480,4540,200,7146,2094,4801,251,7258,1407,5593,258
48429,Stephens County,3526,626,2869,31,3407,475,2891,41,3453,348,3033,72
08007,Archuleta County,6625,2836,3638,151,6646,2637,3831,178,7290,2489,4234,567
08001,Adams County,160499,93443,63976,3080,161495,90843,66531,4121,175125,86471,73807,14847
26001,Alcona County,6420,2896,3404,120,6086,2462,3571,53,6179,1732,4201,246
37119,Mecklenburg County,410817,253958,153848,3011,445062,270705,170490,3867,461834,292258,154303,15273
21165,Menifee County,2489,1276,1155,58,2598,1048,1484,66,2779,700,2010,69
54083,Randolph County,10831,4539,6060,232,9727,3325,6150,252,10816,2724,7583,509
48411,San Saba County,2457,487,1941,29,2256,323,1905,28,2354,293,2025,36
54077,Preston County,11794,4205,7325,264,11089,2916,7841,332,12611,2462,9501,648
01039,Covington County,15787,3240,12444,103,15415,3155,12148,112,15818,2379,13222,217
15001,Hawaii County,66916,50819,14866,1231,62653,46670,14541,1442,64865,41258,17500,6107
05061,Howard County,4846,1746,2957,143,4419,1460,2862,97,4634,1350,3155,129
35023,Hidalgo County,1951,993,936,22,1929,994,895,40,1836,780,906,150
26151,Sanilac County,20169,9047,10679,443,18359,7212,10961,186,19243,4873,13446,924
46031,Corson County,1406,837,535,34,1199,647,515,37,1175,535,588,52
42121,Venango County,23307,9238,13718,351,20775,7469,12928,378,22096,5889,15254,953
39163,Vinton County,5646,2463,3021,162,5352,2382,2798,172,5393,1332,3799,262
13241,Rabun County,7599,2001,5487,111,7438,1558,5753,127,7949,1443,6287,219
48337,Montague County,7950,1597,6245,108,7737,1116,6539,82,8604,885,7526,193
13281,Towns County,5739,1391,4292,56,6159,1265,4834,60,6726,1206,5377,143
19021,Buena Vista County,8418,4075,4223,120,8322,3683,4548,91,8179,2851,4895,433
29169,Pulaski County,15000,5249,9552,199,13571,4199,9092,280,13443,2918,9870,655
05057,Hempstead County,7349,2869,4273,207,6919,2466,4284,169,6984,2371,4391,222
27067,Kandiyohi County,21895,10125,11319,451,21403,9806,11239,358,21648,7266,12785,1597
39027,Clinton County,19305,6558,12409,338,17648,5534,11740,374,18100,3943,13466,691
41031,Jefferson County,8318,3682,4402,234,7978,3238,4576,164,8874,2892,5337,645
38089,Stark County,11070,3802,7024,244,11539,2805,8509,225,12115,1745,9718,652
